cell_id,cell_type,batch,split
human2_lib1.final_cell_0043,ductal,inDrop2,validation
human3_lib1.final_cell_0853,endothelial,inDrop3,train
D31-4_41,acinar,celseq2,train
human2_lib2.final_cell_0311,alpha,inDrop2,test
D29-5_7,alpha,celseq2,train
Sample_813,beta,smarter,train
HP1504901_P21,delta,smartseq2,train
human1_lib2.final_cell_0240,beta,inDrop1,train
HP1504101T2D_B8,ductal,smartseq2,test
human3_lib1.final_cell_0347,beta,inDrop3,train
D101_84,alpha,celseq,test
human2_lib1.final_cell_0325,beta,inDrop2,train
human3_lib3.final_cell_0109,acinar,inDrop3,validation
human2_lib3.final_cell_0532,alpha,inDrop2,train
human1_lib2.final_cell_0599,beta,inDrop1,test
HP1502401_A18,delta,smartseq2,train
HP1526901T2D_J24,alpha,smartseq2,train
HP1504101T2D_F18,activated_stellate,smartseq2,train
Sample_1575,gamma,smarter,train
HP1506401_J4,alpha,smartseq2,train
human4_lib3.final_cell_0183,alpha,inDrop4,train
HP1504901_N12,alpha,smartseq2,train
Sample_462,alpha,smarter,validation
human4_lib1.final_cell_0072,beta,inDrop4,train
D29-2_54,beta,celseq2,train
human2_lib2.final_cell_0102,activated_stellate,inDrop2,train
human2_lib2.final_cell_0309,alpha,inDrop2,train
human1_lib1.final_cell_0468,beta,inDrop1,train
human2_lib3.final_cell_0065,alpha,inDrop2,train
D31-6_12,delta,celseq2,train
human2_lib1.final_cell_0136,ductal,inDrop2,train
Sample_535,alpha,smarter,train
D29-8_50,beta,celseq2,validation
human3_lib3.final_cell_0290,ductal,inDrop3,test
Sample_853,beta,smarter,train
human1_lib3.final_cell_0549,beta,inDrop1,train
human3_lib3.final_cell_0434,alpha,inDrop3,train
human3_lib1.final_cell_0738,beta,inDrop3,validation
HP1502401_F22,beta,smartseq2,test
Sample_1393,alpha,smarter,train
human3_lib1.final_cell_0063,acinar,inDrop3,train
Sample_1260,alpha,smarter,train
HP1526901T2D_O7,delta,smartseq2,train
human3_lib3.final_cell_0053,acinar,inDrop3,train
human3_lib1.final_cell_0862,beta,inDrop3,train
human3_lib3.final_cell_0451,alpha,inDrop3,validation
HP1502401_B17,acinar,smartseq2,test
D30-1_69,beta,celseq2,train
9th-C8_S14,beta,fluidigmc1,test
D28-4_86,acinar,celseq2,validation
human1_lib1.final_cell_0127,delta,inDrop1,train
D30-5_72,activated_stellate,celseq2,train
Sample_966,alpha,smarter,train
Sample_473,alpha,smarter,test
Sample_104,beta,smarter,train
human2_lib3.final_cell_0139,alpha,inDrop2,train
human3_lib1.final_cell_0417,alpha,inDrop3,train
Sample_1534,delta,smarter,test
D172444_60,alpha,celseq,test
Sample_1292,alpha,smarter,train
Sample_1046,alpha,smarter,validation
D17All1_78,ductal,celseq,train
D31-7_35,alpha,celseq2,test
human3_lib1.final_cell_0510,alpha,inDrop3,train
human3_lib4.final_cell_0256,alpha,inDrop3,train
Sample_999,alpha,smarter,test
Sample_992,alpha,smarter,train
human1_lib2.final_cell_0021,beta,inDrop1,train
human3_lib4.final_cell_0205,beta,inDrop3,train
human2_lib1.final_cell_0111,beta,inDrop2,train
D29-8_88,ductal,celseq2,train
human3_lib4.final_cell_0613,endothelial,inDrop3,train
Sample_245,alpha,smarter,train
human3_lib3.final_cell_0753,macrophage,inDrop3,train
D71_64,ductal,celseq,train
human3_lib2.final_cell_0217,alpha,inDrop3,train
D28-5_78,acinar,celseq2,validation
human3_lib4.final_cell_0899,alpha,inDrop3,train
human1_lib2.final_cell_0054,acinar,inDrop1,train
HP1525301T2D_H7,alpha,smartseq2,train
D30-8_87,endothelial,celseq2,train
human3_lib2.final_cell_0183,acinar,inDrop3,train
human3_lib1.final_cell_0565,alpha,inDrop3,train
HP1508501T2D_C18,ductal,smartseq2,test
HP1506401_A24,beta,smartseq2,train
human1_lib2.final_cell_0175,beta,inDrop1,train
human3_lib3.final_cell_0481,beta,inDrop3,train
human1_lib1.final_cell_0427,beta,inDrop1,validation
HP1506401_E17,ductal,smartseq2,train
human4_lib3.final_cell_0618,beta,inDrop4,train
12th-C21_S184,beta,fluidigmc1,validation
human3_lib4.final_cell_0778,alpha,inDrop3,train
D29-4_26,alpha,celseq2,test
HP1502401_F4,alpha,smartseq2,train
1st-C77_S86,beta,fluidigmc1,test
Sample_329,alpha,smarter,train
human3_lib1.final_cell_0120,acinar,inDrop3,train
D71_21,beta,celseq,train
human1_lib2.final_cell_0414,beta,inDrop1,train
human2_lib2.final_cell_0414,alpha,inDrop2,train
HP1508501T2D_D15,delta,smartseq2,train
D1713_27,acinar,celseq,train
human2_lib1.final_cell_0507,quiescent_stellate,inDrop2,train
human3_lib2.final_cell_0062,acinar,inDrop3,test
human3_lib1.final_cell_0757,beta,inDrop3,validation
human3_lib3.final_cell_0040,acinar,inDrop3,test
HP1508501T2D_P4,gamma,smartseq2,test
human2_lib1.final_cell_0021,ductal,inDrop2,train
Sample_984,alpha,smarter,test
human3_lib2.final_cell_0748,alpha,inDrop3,validation
10th_C76_S128,delta,fluidigmc1,train
human3_lib4.final_cell_0163,beta,inDrop3,train
D30-4_88,alpha,celseq2,test
HP1525301T2D_O18,alpha,smartseq2,train
11th-C53_S78,beta,fluidigmc1,train
Sample_812,beta,smarter,train
D29-3_9,delta,celseq2,validation
human3_lib2.final_cell_0307,alpha,inDrop3,train
D72_31,ductal,celseq,train
2nd-C2_S2,endothelial,fluidigmc1,train
D30-6_53,delta,celseq2,train
Sample_709,beta,smarter,train
human3_lib3.final_cell_0504,beta,inDrop3,validation
HP1509101_O23,alpha,smartseq2,train
human1_lib1.final_cell_0113,delta,inDrop1,train
D28-2_65,alpha,celseq2,train
human1_lib3.final_cell_0323,beta,inDrop1,train
human4_lib3.final_cell_0124,alpha,inDrop4,validation
Sample_63,beta,smarter,train
Sample_218,alpha,smarter,train
human3_lib4.final_cell_0766,alpha,inDrop3,train
D28-3_91,acinar,celseq2,test
human3_lib3.final_cell_0234,alpha,inDrop3,test
human1_lib2.final_cell_0029,beta,inDrop1,train
HP1507101_F13,alpha,smartseq2,train
human1_lib3.final_cell_0497,quiescent_stellate,inDrop1,train
human3_lib3.final_cell_0516,activated_stellate,inDrop3,test
human4_lib3.final_cell_0423,ductal,inDrop4,train
human3_lib2.final_cell_0200,beta,inDrop3,train
human3_lib3.final_cell_0261,alpha,inDrop3,train
human1_lib1.final_cell_0426,gamma,inDrop1,validation
human4_lib1.final_cell_0110,beta,inDrop4,validation
Sample_21,beta,smarter,test
human2_lib1.final_cell_0210,alpha,inDrop2,train
human3_lib2.final_cell_0314,alpha,inDrop3,train
human2_lib3.final_cell_0165,beta,inDrop2,train
D31-1_67,alpha,celseq2,train
D30-7_55,delta,celseq2,train
8th-C75_S128,beta,fluidigmc1,test
9th-C20_S35,alpha,fluidigmc1,train
human3_lib2.final_cell_0105,acinar,inDrop3,train
D72_33,acinar,celseq,train
D17TGFB_55,ductal,celseq,train
HP1504101T2D_L1,gamma,smartseq2,train
human4_lib3.final_cell_0015,ductal,inDrop4,train
D30-6_68,beta,celseq2,train
human2_lib3.final_cell_0288,delta,inDrop2,train
HP1508501T2D_K4,alpha,smartseq2,train
human4_lib1.final_cell_0224,beta,inDrop4,train
1st-C59_S77,alpha,fluidigmc1,train
D29-3_87,beta,celseq2,validation
human3_lib4.final_cell_0605,alpha,inDrop3,train
human3_lib4.final_cell_0767,alpha,inDrop3,validation
Sample_1062,alpha,smarter,test
human1_lib3.final_cell_0346,delta,inDrop1,validation
D29-3_94,beta,celseq2,train
HP1504901_L8,beta,smartseq2,test
human4_lib1.final_cell_0217,ductal,inDrop4,train
human3_lib4.final_cell_0505,acinar,inDrop3,validation
D74_54,ductal,celseq,validation
human1_lib2.final_cell_0303,macrophage,inDrop1,test
D28-4_54,acinar,celseq2,train
human2_lib3.final_cell_0055,alpha,inDrop2,train
human3_lib4.final_cell_0315,ductal,inDrop3,test
HP1504901_O16,alpha,smartseq2,train
D30-5_39,alpha,celseq2,validation
D31-7_39,beta,celseq2,train
HP1526901T2D_F20,gamma,smartseq2,validation
D30-2_48,beta,celseq2,validation
D28-8_86,alpha,celseq2,train
HP1504101T2D_E16,beta,smartseq2,train
human4_lib1.final_cell_0525,beta,inDrop4,train
5th-C54_S89,acinar,fluidigmc1,train
human3_lib3.final_cell_0636,alpha,inDrop3,train
human3_lib2.final_cell_0634,alpha,inDrop3,test
human4_lib3.final_cell_0269,delta,inDrop4,train
human1_lib1.final_cell_0494,alpha,inDrop1,train
human4_lib3.final_cell_0638,beta,inDrop4,train
human3_lib2.final_cell_0538,ductal,inDrop3,train
human3_lib1.final_cell_0468,alpha,inDrop3,train
HP1504901_O9,alpha,smartseq2,train
8th-C67_S117,ductal,fluidigmc1,train
Sample_41,beta,smarter,train
D29-3_83,beta,celseq2,test
Sample_793,beta,smarter,train
human3_lib2.final_cell_0032,acinar,inDrop3,validation
D31-7_93,alpha,celseq2,test
HP1504101T2D_F2,gamma,smartseq2,train
human3_lib2.final_cell_0686,ductal,inDrop3,train
HP1504101T2D_J2,alpha,smartseq2,train
human3_lib2.final_cell_0851,alpha,inDrop3,train
human3_lib3.final_cell_0720,alpha,inDrop3,train
human1_lib1.final_cell_0202,alpha,inDrop1,train
D17TGFB_36,acinar,celseq,train
Sample_811,beta,smarter,train
human1_lib1.final_cell_0234,beta,inDrop1,train
human2_lib3.final_cell_0274,ductal,inDrop2,train
human1_lib2.final_cell_0463,delta,inDrop1,train
human3_lib4.final_cell_0400,alpha,inDrop3,train
human2_lib1.final_cell_0020,alpha,inDrop2,train
HP1526901T2D_F3,alpha,smartseq2,validation
HP1526901T2D_I1,ductal,smartseq2,test
human1_lib3.final_cell_0357,ductal,inDrop1,train
D31-8_62,alpha,celseq2,test
HP1509101_B11,alpha,smartseq2,train
HP1507101_I6,alpha,smartseq2,train
human1_lib3.final_cell_0519,endothelial,inDrop1,validation
HP1508501T2D_K2,ductal,smartseq2,train
HP1507101_F10,delta,smartseq2,train
human3_lib1.final_cell_0775,beta,inDrop3,validation
D17TGFB_52,alpha,celseq,train
human2_lib1.final_cell_0408,alpha,inDrop2,train
D28-3_55,alpha,celseq2,validation
Sample_1210,alpha,smarter,validation
human3_lib1.final_cell_0261,delta,inDrop3,train
D29-5_12,beta,celseq2,train
human3_lib1.final_cell_0678,alpha,inDrop3,train
human1_lib1.final_cell_0144,beta,inDrop1,train
human3_lib4.final_cell_0026,acinar,inDrop3,train
human1_lib2.final_cell_0327,beta,inDrop1,test
human2_lib2.final_cell_0356,alpha,inDrop2,train
D29-6_57,alpha,celseq2,train
D30-8_36,acinar,celseq2,validation
D31-7_59,beta,celseq2,train
10th_C14_S53,beta,fluidigmc1,validation
human3_lib2.final_cell_0491,acinar,inDrop3,train
human3_lib2.final_cell_0039,acinar,inDrop3,validation
human2_lib3.final_cell_0286,alpha,inDrop2,train
human4_lib1.final_cell_0358,beta,inDrop4,train
human1_lib2.final_cell_0225,acinar,inDrop1,validation
HP1508501T2D_M5,alpha,smartseq2,test
HP1508501T2D_I14,alpha,smartseq2,train
HP1502401_L4,alpha,smartseq2,train
human4_lib3.final_cell_0678,beta,inDrop4,test
human2_lib1.final_cell_0479,ductal,inDrop2,train
human2_lib1.final_cell_0314,ductal,inDrop2,validation
D30-4_60,alpha,celseq2,train
human3_lib3.final_cell_0278,ductal,inDrop3,train
HP1508501T2D_K18,endothelial,smartseq2,train
human3_lib4.final_cell_0246,alpha,inDrop3,test
Sample_708,beta,smarter,train
D29-7_33,alpha,celseq2,train
human2_lib3.final_cell_0310,quiescent_stellate,inDrop2,train
human3_lib1.final_cell_0058,acinar,inDrop3,train
D29-5_22,beta,celseq2,train
human3_lib2.final_cell_0273,beta,inDrop3,train
D30-8_7,alpha,celseq2,train
Sample_1517,delta,smarter,validation
human4_lib1.final_cell_0175,beta,inDrop4,train
human4_lib3.final_cell_0131,ductal,inDrop4,test
9th-C67_S37,alpha,fluidigmc1,train
human4_lib3.final_cell_0395,beta,inDrop4,train
human4_lib3.final_cell_0609,beta,inDrop4,train
HP1509101_P18,alpha,smartseq2,train
Sample_226,alpha,smarter,train
human4_lib3.final_cell_0169,beta,inDrop4,train
Sample_54,beta,smarter,train
human1_lib2.final_cell_0533,ductal,inDrop1,train
human2_lib2.final_cell_0498,alpha,inDrop2,test
human1_lib2.final_cell_0253,alpha,inDrop1,validation
Sample_831,beta,smarter,train
HP1508501T2D_G10,alpha,smartseq2,train
HP1507101_O18,alpha,smartseq2,validation
Sample_1241,alpha,smarter,train
human3_lib2.final_cell_0092,delta,inDrop3,test
D29-8_80,delta,celseq2,train
human2_lib3.final_cell_0068,beta,inDrop2,train
HP1525301T2D_A9,alpha,smartseq2,train
human2_lib1.final_cell_0186,ductal,inDrop2,train
8th-C11_S99,alpha,fluidigmc1,train
human3_lib2.final_cell_0815,alpha,inDrop3,train
D30-3_33,alpha,celseq2,test
D29-4_67,beta,celseq2,test
D29-1_27,alpha,celseq2,train
human3_lib1.final_cell_0430,delta,inDrop3,validation
D172444_90,alpha,celseq,train
human2_lib2.final_cell_0543,quiescent_stellate,inDrop2,train
human4_lib1.final_cell_0359,beta,inDrop4,train
human3_lib2.final_cell_0024,acinar,inDrop3,validation
HP1506401_M16,ductal,smartseq2,train
D31-2_28,beta,celseq2,validation
human3_lib2.final_cell_0078,acinar,inDrop3,test
human1_lib2.final_cell_0429,beta,inDrop1,validation
human1_lib3.final_cell_0690,mast,inDrop1,train
Sample_951,alpha,smarter,validation
human2_lib3.final_cell_0467,ductal,inDrop2,train
Sample_576,alpha,smarter,train
human2_lib1.final_cell_0078,ductal,inDrop2,train
D17All1_20,ductal,celseq,train
human2_lib2.final_cell_0068,beta,inDrop2,train
Sample_911,beta,smarter,train
human3_lib2.final_cell_0242,beta,inDrop3,test
human2_lib1.final_cell_0409,alpha,inDrop2,test
HP1525301T2D_A3,alpha,smartseq2,train
AZ_B5,alpha,smartseq2,train
Sample_511,alpha,smarter,test
human3_lib1.final_cell_0334,alpha,inDrop3,test
human3_lib3.final_cell_0019,acinar,inDrop3,test
HP1507101_D20,alpha,smartseq2,train
human1_lib1.final_cell_0153,beta,inDrop1,train
human2_lib3.final_cell_0025,beta,inDrop2,train
HP1504101T2D_O13,alpha,smartseq2,validation
human2_lib2.final_cell_0250,beta,inDrop2,train
Sample_595,delta,smarter,train
human4_lib1.final_cell_0104,alpha,inDrop4,train
Sample_457,alpha,smarter,train
HP1504101T2D_I16,gamma,smartseq2,test
human3_lib3.final_cell_0116,alpha,inDrop3,train
Sample_1050,alpha,smarter,test
human4_lib1.final_cell_0332,alpha,inDrop4,train
D17All1_45,ductal,celseq,validation
HP1508501T2D_P14,ductal,smartseq2,validation
HP1504101T2D_C1,endothelial,smartseq2,validation
human2_lib1.final_cell_0424,alpha,inDrop2,train
human4_lib1.final_cell_0303,ductal,inDrop4,test
5th-C77_S107,alpha,fluidigmc1,train
human3_lib3.final_cell_0229,acinar,inDrop3,train
Sample_1415,alpha,smarter,test
human1_lib1.final_cell_0289,endothelial,inDrop1,test
Sample_1483,alpha,smarter,train
human3_lib4.final_cell_0502,acinar,inDrop3,train
human1_lib2.final_cell_0622,endothelial,inDrop1,test
D29-2_57,ductal,celseq2,test
human2_lib1.final_cell_0423,ductal,inDrop2,train
11th-C57_S40,alpha,fluidigmc1,train
HP1508501T2D_K20,beta,smartseq2,test
human4_lib3.final_cell_0282,ductal,inDrop4,train
human4_lib3.final_cell_0560,alpha,inDrop4,validation
human3_lib4.final_cell_0227,beta,inDrop3,train
human2_lib2.final_cell_0291,alpha,inDrop2,train
human3_lib4.final_cell_0730,delta,inDrop3,train
human2_lib2.final_cell_0579,gamma,inDrop2,test
HP1508501T2D_F16,alpha,smartseq2,train
human1_lib3.final_cell_0546,macrophage,inDrop1,train
human2_lib1.final_cell_0287,activated_stellate,inDrop2,test
D31-3_90,alpha,celseq2,train
human4_lib3.final_cell_0072,activated_stellate,inDrop4,train
D1713_14,ductal,celseq,train
HP1526901T2D_L21,alpha,smartseq2,validation
human1_lib2.final_cell_0319,ductal,inDrop1,train
human3_lib4.final_cell_0389,alpha,inDrop3,train
human1_lib2.final_cell_0343,macrophage,inDrop1,train
human3_lib2.final_cell_0095,delta,inDrop3,test
Sample_1285,alpha,smarter,train
human3_lib4.final_cell_0808,beta,inDrop3,train
human2_lib1.final_cell_0156,delta,inDrop2,train
human4_lib1.final_cell_0135,beta,inDrop4,validation
human1_lib1.final_cell_0335,beta,inDrop1,validation
HP1526901T2D_G17,beta,smartseq2,train
HP1506401_K2,acinar,smartseq2,test
human4_lib3.final_cell_0418,ductal,inDrop4,train
human3_lib3.final_cell_0203,acinar,inDrop3,train
human4_lib3.final_cell_0077,beta,inDrop4,test
D29-1_52,beta,celseq2,validation
human3_lib3.final_cell_0494,alpha,inDrop3,train
human3_lib4.final_cell_0691,beta,inDrop3,train
HP1526901T2D_P13,activated_stellate,smartseq2,validation
human3_lib1.final_cell_0211,acinar,inDrop3,train
human3_lib2.final_cell_0127,acinar,inDrop3,train
D31-6_32,gamma,celseq2,train
HP1506401_D10,ductal,smartseq2,train
HP1504101T2D_P7,alpha,smartseq2,train
D29-6_66,delta,celseq2,train
human2_lib3.final_cell_0124,activated_stellate,inDrop2,train
human1_lib2.final_cell_0508,beta,inDrop1,validation
HP1506401_F9,beta,smartseq2,train
D29-4_13,alpha,celseq2,train
HP1525301T2D_L24,alpha,smartseq2,train
human2_lib1.final_cell_0508,alpha,inDrop2,train
HP1506401_B15,activated_stellate,smartseq2,train
human3_lib1.final_cell_0494,beta,inDrop3,test
human3_lib4.final_cell_0772,alpha,inDrop3,test
D30-1_14,beta,celseq2,test
HP1509101_H23,alpha,smartseq2,validation
human3_lib4.final_cell_0284,ductal,inDrop3,train
human2_lib2.final_cell_0328,beta,inDrop2,test
human4_lib3.final_cell_0075,ductal,inDrop4,train
human1_lib3.final_cell_0704,t_cell,inDrop1,train
HP1509101_N20,alpha,smartseq2,validation
human1_lib3.final_cell_0562,delta,inDrop1,train
HP1508501T2D_B22,alpha,smartseq2,validation
Sample_65,beta,smarter,validation
D30-5_93,alpha,celseq2,validation
human1_lib3.final_cell_0342,beta,inDrop1,train
human4_lib3.final_cell_0577,alpha,inDrop4,train
human1_lib2.final_cell_0582,acinar,inDrop1,train
human3_lib1.final_cell_0703,alpha,inDrop3,train
3rd-C33_S50,beta,fluidigmc1,train
human1_lib2.final_cell_0230,delta,inDrop1,train
D30-1_63,acinar,celseq2,train
Sample_925,beta,smarter,train
human3_lib2.final_cell_0636,acinar,inDrop3,train
human3_lib4.final_cell_0132,beta,inDrop3,train
human1_lib1.final_cell_0078,beta,inDrop1,test
human3_lib1.final_cell_0340,alpha,inDrop3,train
human3_lib3.final_cell_0536,acinar,inDrop3,validation
HP1526901T2D_L14,gamma,smartseq2,train
human1_lib1.final_cell_0542,beta,inDrop1,train
human2_lib1.final_cell_0024,delta,inDrop2,train
D28-7_37,acinar,celseq2,test
D29-3_93,alpha,celseq2,train
human3_lib2.final_cell_0597,alpha,inDrop3,train
human3_lib2.final_cell_0726,beta,inDrop3,train
human2_lib3.final_cell_0091,ductal,inDrop2,train
human4_lib1.final_cell_0254,alpha,inDrop4,train
D29-2_58,gamma,celseq2,train
D31-6_5,gamma,celseq2,test
D30-7_4,beta,celseq2,train
human3_lib2.final_cell_0610,alpha,inDrop3,validation
D31-3_78,acinar,celseq2,train
HP1504101T2D_M1,gamma,smartseq2,train
human3_lib2.final_cell_0741,alpha,inDrop3,train
HP1506401_D18,ductal,smartseq2,test
HP1509101_I17,endothelial,smartseq2,train
D29-4_43,delta,celseq2,train
HP1508501T2D_K13,ductal,smartseq2,test
Sample_1346,alpha,smarter,train
human2_lib1.final_cell_0279,alpha,inDrop2,validation
human4_lib3.final_cell_0232,beta,inDrop4,train
human3_lib2.final_cell_0782,ductal,inDrop3,train
human3_lib4.final_cell_0633,acinar,inDrop3,train
HP1504101T2D_P18,alpha,smartseq2,train
Sample_242,alpha,smarter,test
human3_lib4.final_cell_0523,alpha,inDrop3,validation
human3_lib4.final_cell_0374,beta,inDrop3,test
HP1507101_L6,alpha,smartseq2,train
human4_lib1.final_cell_0302,ductal,inDrop4,train
D29-2_45,alpha,celseq2,train
human3_lib4.final_cell_0648,activated_stellate,inDrop3,validation
D29-6_67,beta,celseq2,train
3rd-C6_S44,mast,fluidigmc1,train
human4_lib1.final_cell_0211,alpha,inDrop4,test
human4_lib1.final_cell_0169,delta,inDrop4,train
human2_lib2.final_cell_0495,alpha,inDrop2,train
human1_lib2.final_cell_0238,beta,inDrop1,train
human1_lib2.final_cell_0510,quiescent_stellate,inDrop1,train
human1_lib3.final_cell_0363,beta,inDrop1,train
Sample_525,alpha,smarter,validation
D17All2_34,beta,celseq,train
human3_lib4.final_cell_0559,alpha,inDrop3,validation
human3_lib3.final_cell_0343,beta,inDrop3,test
HP1508501T2D_I20,alpha,smartseq2,train
Sample_1024,alpha,smarter,train
AZ_F9,ductal,smartseq2,train
human1_lib2.final_cell_0283,beta,inDrop1,train
human1_lib3.final_cell_0527,beta,inDrop1,test
D74_79,ductal,celseq,test
human4_lib3.final_cell_0353,beta,inDrop4,test
D31-6_62,acinar,celseq2,train
human1_lib2.final_cell_0556,beta,inDrop1,train
D28-5_76,delta,celseq2,train
Sample_459,alpha,smarter,train
HP1525301T2D_I1,ductal,smartseq2,validation
D17All2_7,beta,celseq,train
human1_lib1.final_cell_0406,alpha,inDrop1,train
human3_lib1.final_cell_0054,acinar,inDrop3,test
human1_lib3.final_cell_0331,beta,inDrop1,train
HP1525301T2D_J13,alpha,smartseq2,train
human3_lib2.final_cell_0276,beta,inDrop3,validation
human1_lib1.final_cell_0392,beta,inDrop1,train
human4_lib3.final_cell_0265,ductal,inDrop4,test
D1713_3,ductal,celseq,train
human2_lib3.final_cell_0046,alpha,inDrop2,train
human1_lib1.final_cell_0391,beta,inDrop1,train
human2_lib3.final_cell_0314,delta,inDrop2,train
human1_lib3.final_cell_0649,endothelial,inDrop1,train
human2_lib2.final_cell_0448,activated_stellate,inDrop2,test
Sample_656,beta,smarter,validation
2nd-C67_S40,alpha,fluidigmc1,train
Sample_39,beta,smarter,validation
human3_lib1.final_cell_0453,activated_stellate,inDrop3,test
human3_lib4.final_cell_0585,beta,inDrop3,validation
HP1508501T2D_D9,acinar,smartseq2,train
D31-5_56,alpha,celseq2,train
D30-1_7,alpha,celseq2,train
human3_lib3.final_cell_0125,alpha,inDrop3,test
human1_lib3.final_cell_0424,gamma,inDrop1,train
human2_lib3.final_cell_0456,alpha,inDrop2,validation
human3_lib4.final_cell_0440,alpha,inDrop3,train
human3_lib3.final_cell_0731,ductal,inDrop3,train
D28-3_28,acinar,celseq2,train
HP1504901_B14,ductal,smartseq2,train
HP1507101_K22,alpha,smartseq2,train
human3_lib1.final_cell_0284,ductal,inDrop3,train
D29-7_3,beta,celseq2,validation
human3_lib3.final_cell_0453,acinar,inDrop3,train
human4_lib3.final_cell_0356,beta,inDrop4,train
D29-1_66,gamma,celseq2,train
human2_lib1.final_cell_0101,beta,inDrop2,train
D28-4_17,acinar,celseq2,train
human2_lib3.final_cell_0057,activated_stellate,inDrop2,train
human3_lib4.final_cell_0846,quiescent_stellate,inDrop3,train
human3_lib3.final_cell_0360,alpha,inDrop3,test
D31-5_58,alpha,celseq2,train
D72_91,alpha,celseq,train
human3_lib2.final_cell_0385,alpha,inDrop3,test
human2_lib2.final_cell_0015,ductal,inDrop2,train
human3_lib3.final_cell_0412,beta,inDrop3,test
D30-5_69,beta,celseq2,train
human4_lib1.final_cell_0463,beta,inDrop4,train
human3_lib1.final_cell_0104,delta,inDrop3,train
D102_24,beta,celseq,train
11th-C77_S82,endothelial,fluidigmc1,train
human2_lib1.final_cell_0382,beta,inDrop2,train
Sample_1238,alpha,smarter,train
7th-C32_S54,alpha,fluidigmc1,train
D17TGFB_78,alpha,celseq,train
human2_lib3.final_cell_0393,alpha,inDrop2,train
human3_lib3.final_cell_0147,alpha,inDrop3,train
human3_lib1.final_cell_0110,delta,inDrop3,train
13th_C5_S184,beta,fluidigmc1,train
human4_lib3.final_cell_0320,beta,inDrop4,train
4th-C9_S13,alpha,fluidigmc1,train
human2_lib2.final_cell_0211,alpha,inDrop2,train
human4_lib3.final_cell_0544,delta,inDrop4,train
Sample_1035,alpha,smarter,train
D30-8_93,ductal,celseq2,train
human3_lib2.final_cell_0408,alpha,inDrop3,train
human4_lib1.final_cell_0229,delta,inDrop4,train
human2_lib2.final_cell_0507,beta,inDrop2,test
human4_lib1.final_cell_0326,epsilon,inDrop4,train
human3_lib2.final_cell_0245,delta,inDrop3,test
human3_lib4.final_cell_0174,ductal,inDrop3,validation
HP1509101_F24,ductal,smartseq2,validation
HP1504101T2D_B7,alpha,smartseq2,train
human3_lib3.final_cell_0052,beta,inDrop3,test
D29-7_85,alpha,celseq2,validation
human4_lib3.final_cell_0685,beta,inDrop4,train
Sample_798,beta,smarter,train
D29-4_50,alpha,celseq2,train
D30-7_8,alpha,celseq2,train
human3_lib4.final_cell_0557,alpha,inDrop3,train
HP1526901T2D_F9,alpha,smartseq2,train
human2_lib3.final_cell_0466,beta,inDrop2,train
human4_lib1.final_cell_0305,beta,inDrop4,validation
human3_lib3.final_cell_0857,alpha,inDrop3,train
human1_lib3.final_cell_0438,ductal,inDrop1,train
human1_lib1.final_cell_0507,quiescent_stellate,inDrop1,train
Sample_53,beta,smarter,train
D29-6_52,alpha,celseq2,validation
human2_lib2.final_cell_0172,delta,inDrop2,train
human3_lib3.final_cell_0771,alpha,inDrop3,test
human2_lib2.final_cell_0419,gamma,inDrop2,train
human2_lib2.final_cell_0529,alpha,inDrop2,train
human4_lib3.final_cell_0260,activated_stellate,inDrop4,train
2nd-C28_S55,alpha,fluidigmc1,train
D73_2,ductal,celseq,test
human4_lib1.final_cell_0111,ductal,inDrop4,test
human3_lib2.final_cell_0316,ductal,inDrop3,train
HP1504901_O17,alpha,smartseq2,train
Sample_1133,alpha,smarter,test
human3_lib3.final_cell_0496,ductal,inDrop3,train
human1_lib2.final_cell_0611,endothelial,inDrop1,train
D3en2_5,acinar,celseq,train
D31-3_73,acinar,celseq2,train
human1_lib2.final_cell_0270,gamma,inDrop1,train
D30-7_79,beta,celseq2,test
HP1507101_C24,alpha,smartseq2,train
human2_lib2.final_cell_0145,activated_stellate,inDrop2,train
HP1525301T2D_F5,acinar,smartseq2,train
human3_lib2.final_cell_0404,alpha,inDrop3,train
D30-5_3,activated_stellate,celseq2,test
human4_lib3.final_cell_0100,ductal,inDrop4,train
Sample_17,beta,smarter,train
human2_lib3.final_cell_0082,alpha,inDrop2,train
human2_lib3.final_cell_0298,ductal,inDrop2,train
3rd-C32_S31,alpha,fluidigmc1,train
HP1506401_I23,beta,smartseq2,train
human3_lib1.final_cell_0450,alpha,inDrop3,test
HP1526901T2D_E20,delta,smartseq2,test
D29-3_59,beta,celseq2,train
human1_lib2.final_cell_0068,delta,inDrop1,train
human3_lib3.final_cell_0003,acinar,inDrop3,train
human4_lib1.final_cell_0365,gamma,inDrop4,validation
HP1506401_M21,ductal,smartseq2,train
human1_lib3.final_cell_0469,acinar,inDrop1,train
Sample_769,beta,smarter,train
HP1502401_F23,alpha,smartseq2,train
HP1525301T2D_G11,alpha,smartseq2,train
D17All1_90,beta,celseq,test
human3_lib3.final_cell_0243,acinar,inDrop3,train
human3_lib3.final_cell_0679,alpha,inDrop3,train
human1_lib1.final_cell_0495,quiescent_stellate,inDrop1,train
human1_lib1.final_cell_0045,activated_stellate,inDrop1,train
human1_lib2.final_cell_0263,delta,inDrop1,train
human3_lib1.final_cell_0103,alpha,inDrop3,train
human3_lib4.final_cell_0486,alpha,inDrop3,train
